"","Ranking","City","Country","Wifi","Co_Work","Coffee","Taxi","Beer","Rent","Meal","Sun","Fun","Insta"
"88",88,"Montevideo","Uruguay",25,10,2.52,1.07,2.55,411.55,9.14,2481,326,3.05
"65",65,"Montreal","Canada",27,60,3.08,1.31,4.51,959,11.27,2051,793,18.83
"31",31,"Moscow","Russia",17,47,2.21,0.2,2.64,836.36,9.83,1901,4653,58.2
"7",7,"Mumbai","India",23,152,2.04,0.29,2.13,545.53,3.77,2584,892,47.2
"106",105,"Munich","Germany",31,87,3.51,2.22,4.45,1450.25,15.54,1709,735,12.13
"137",137,"Muscat","Oman",8,7,4.51,0.66,9.72,582.54,6.07,3493,219,3.43
"84",84,"Naples","Italy",19,7,1.53,1.13,3.33,715.04,11.1,2375,1045,8.87
"2",2,"New Delhi","India",12,165,1.85,0.25,1.89,233.02,3.77,2685,2019,28.53
"76",76,"New Orleans","United States",45,16,4.23,2,3.26,1303.33,16.26,2649,1016,11.61
"45",45,"New York","United States",37,272,4.52,1.74,6.88,2823.18,18.72,2535,10269,113.71
"74",74,"Oaxaca","Mexico",16,7,2.12,1.14,0.95,322.24,4.24,2896,294,4.73
"59",59,"Osaka","Japan",26,47,3.03,3.39,1.9,807.4,6.77,1996,790,16.06
"138",138,"Oslo","Norway",49,33,4.71,1.51,9.71,1434.11,19.38,1668,444,8.12
"132",132,"Ottawa","Canada",26,24,3.37,1.49,5.24,1206.49,14.98,2084,435,6.91
"98",98,"Palma de Mallorca","Spain",29,15,2.35,1.08,2.77,958.05,16.6,2763,446,2.37
"69",69,"Paris","France",30,136,4.12,1.66,6.92,1370.5,16.6,1662,4265,130.03
"109",109,"Perth","Australia",19,29,3.19,1.18,6.2,1044.99,13.78,3230,416,10.68
"61",61,"Phnom Penh","Cambodia",8,27,2.2,0.94,0.7,439.47,2.8,3197,522,1.2
"63",63,"Phoenix","United States",44,35,4.32,1.3,4.67,1218.07,14.01,3872,389,9.83
"10",10,"Phuket","Thailand",23,11,2.25,0.99,2.55,391.4,3.54,3450,1698,10.19
"91",91,"Pokhara","Nepal",9,3,1.08,0.59,2.35,107.93,1.77,2573,344,0.74
"89",89,"Portland","United States",44,31,3.95,1.51,5.59,1496.57,14.91,2341,741,12.33
"27",27,"Porto","Portugal",29,32,1.74,0.56,2.21,744.8,7.75,2468,802,9.73
"24",23,"Prague","Czech Republic",36,38,2.47,1.21,2.39,773.92,6.51,1668,2342,17.54
"72",72,"Quito","Ecuador",12,35,2.22,1.4,1.86,446.95,3.5,2238,493,8.41
"147",147,"Reykjavik","Iceland",26,9,4.37,2.64,9.02,1521.78,18.8,1326,629,2.06
"96",96,"Riga","Latvia",23,20,2.86,0.78,3.32,489.49,8.85,1754,540,3.6
"15",15,"Rio de Janeiro","Brazil",10,42,1.4,0.55,1.47,344.4,5.97,2187,1607,43.04
"57",57,"Rome","Italy",17,50,1.39,1.33,5.54,1069.77,16.6,2473,3444,27.67
"128",128,"Rotterdam","Netherlands",37,31,3.28,2.22,4.42,1320.93,16.56,1745,323,6.75
"142",142,"Salzburg","Austria",30,7,3.48,2.14,4.32,852.45,13.83,1697,290,3.11
"40",40,"San Diego","United States",74,53,3.98,1.74,5.59,2019.93,13.97,3055,1118,29.89
"38",38,"San Francisco","United States",75,77,4.41,1.74,6.55,2793.75,18.64,3062,1490,30.78
"115",115,"San Jose","Costa Rica",10,17,2.24,0.98,2.26,542.2,6.77,2081,305,5.08
"37",37,"Santiago","Chile",11,57,2.87,1.22,3.68,404.53,8.58,2808,1041,19.69
"14",14,"São Paulo","Brazil",17,112,1.48,1.1,1.83,421.11,5.5,1894,1267,32.18
"35",34,"Seoul","South Korea",25,74,3.87,0.72,3.04,835.6,6.5,2066,1166,20.38
"51",51,"Seville","Spain",28,7,1.57,1.04,2.21,729.66,9.96,2898,932,1.76
"94",94,"Shanghai","China",39,119,3.82,0.42,1.44,1247.25,4.33,1776,975,10.97
"26",26,"Siem Reap","Cambodia",9,3,1.62,0.7,0.82,264.46,1.86,3519,1650,2.29
"22",22,"Singapore","Singapore",93,117,3.84,0.62,6.2,1892.5,9.46,2022,1561,41.45
"16",16,"Sofia","Bulgaria",30,53,1.47,0.45,1.66,407.67,6.8,2177,598,4.2
"90",90,"Split","Croatia",20,6,1.77,1.47,2.95,468.51,10.32,2631,550,4.25
"129",129,"St. Petersburg","Russia",21,4,3.13,1.3,3.73,1294.01,11.65,1636,3218,3.03
"103",103,"Stockholm","Sweden",37,50,4.36,1.47,7.62,1500.29,13.07,1803,557,13.63
"122",122,"Stuttgart","Germany",33,25,3.26,1.89,4.43,1041.08,13.29,1692,250,9.95
"53",53,"Sydney","Australia",28,93,2.78,1.62,5.51,1817.6,12.4,2636,1343,33.86
"56",56,"Taipei","Taiwan",19,60,3.04,0.83,2,678.04,4,1405,1031,14.32
"78",77,"Tallinn","Estonia",37,14,3.16,0.66,4.43,606.45,11.08,1923,490,2.86
"133",133,"Tel Aviv","Israel",14,28,3.93,1.14,8.63,1492.57,18.69,3311,757,6.47
"41",41,"Tokyo","Japan",32,163,3.44,3.58,4.25,1315.04,8.52,1881,3416,56.62
"70",70,"Toronto","Canada",26,113,3.42,1.49,5.24,1476.7,14.98,2066,1048,50.16
"28",28,"Valencia","Spain",30,39,1.96,1.1,3.32,773.34,11.08,2660,681,23.39
"146",146,"Valletta","Malta",10,1,3.03,3.32,3.96,1158.29,22.14,3054,144,0.76
"85",85,"Vancouver","Canada",40,43,3.38,1.4,5.24,1516.89,14.98,1938,729,24.26
"44",44,"Vienna","Austria",42,91,3.67,1.57,4.43,981.5,12.18,1930,1149,14.45
"121",121,"Vientiane","Laos",5,3,2.13,1.86,1.07,475.89,3.26,3250,104,0.41
"101",101,"Vilnius","Lithuania",25,22,2.64,0.66,3.55,579.79,8.85,1691,457,3.41
"66",66,"Warsaw","Poland",23,54,2.91,0.73,2.55,798.5,7.27,1571,829,11.97
"77",77,"Washington DC","United States",68,59,4.29,2.43,5.59,2166.66,13.97,2528,778,10.77
"80",80,"Xi'an","China",16,4,4.32,0.29,0.72,304.84,2.89,3406,242,0.57
"81",81,"Yangon","Burma/Myanmar",10,22,2.09,0.94,0.94,772.23,3.3,3156,478,0.99
"79",79,"Zagreb","Croatia",25,12,1.69,0.74,2.21,529.96,7.37,1913,520,3.48
"144",144,"Zurich","Switzerland",33,42,5.16,3.9,7.19,2003.91,25.69,1566,485,6.9
