"","Ranking","City","Country","Wifi","Co_Work","Coffee","Taxi","Beer","Rent","Meal","Sun","Fun","Insta"
"124",124,"Copenhagen","Denmark",46,26,5.798,1.794,7.462,1532.609,19.396,1803,772,10101675
"135",135,"Dakar","Senegal",6,6,2.6,1.69,1.066,653.822,5.083,3078,70,2108284
"131",131,"Doha","Qatar",12,13,4.407,0.52,11.57,1455.285,7.709,3897,203,22179935
"126",126,"Dresden","Germany",35,5,2.652,2.431,3.861,581.893,11.037,1581,303,3640354
"48",48,"Dubai","United Arab Emirates",15,115,4.758,0.559,11.466,1390.844,8.918,3885,1615,110962610
"95",95,"Dublin","Ireland",61,46,3.744,1.664,6.11,1868.165,16.653,1453,1243,12936240
"136",136,"Dubrovnik","Croatia",19,0,3.276,1.547,5.928,752.063,15.535,3322,468,2556696
"114",114,"Dusseldorf","Germany",25,44,3.367,2.444,4.446,891.618,11.102,2359,312,7242509
"134",134,"Edinburgh","United Kingdom",26,23,3.588,1.846,5.525,1050.829,19.5,1427,1163,9582024
"125",125,"Edmonton","Canada",30,10,3.497,1.352,4.511,885.677,15.028,2345,294,4765517
"58",58,"Faro","Portugal",70,1,2.041,1.105,2.756,662.584,9.659,3036,167,1705160
"73",73,"Florence","Italy",18,13,1.456,1.105,5.551,845.689,16.653,2924,1377,10392587
"120",120,"Frankfurt","Germany",22,66,3.237,2.223,4.446,1162.928,11.102,1586,497,11611541
"145",145,"Geneva","Switzerland",36,23,4.576,3.172,8.177,2035.085,25.571,1828,300,4329235
"139",139,"Glasgow","United Kingdom",26,16,3.601,1.378,4.55,846.599,19.5,1203,682,7250566
"83",83,"Hamburg","Germany",41,65,3.198,2.119,4.719,1051.869,13.325,1557,688,20155361
"123",123,"Hannover","Germany",38,7,2.938,2.223,3.887,683.826,11.102,1501,177,4633789
"18",18,"Hanoi","Vietnam",14,59,1.56,0.494,0.819,321.672,1.625,1585,1948,7438755
"117",117,"Helsinki","Finland",36,22,4.394,1.105,6.656,1118.988,14.43,1858,624,7238202
"21",21,"Ho Chi Minh City","Vietnam",13,92,1.768,0.611,0.858,525.798,2.041,2489,1357,1636058
"32",32,"Hoi An","Vietnam",12,1,1.339,0.611,0.975,209.118,1.729,2786,1176,2115317
"33",33,"Hong Kong","Hong Kong",78,183,4.55,1.027,6.578,2055.859,7.228,1836,1330,39815830
"105",105,"Honolulu","Hawaii",43,8,5.265,1.911,5.603,1778.621,14.014,3036,946,4898654
"50",50,"Houston","United States",60,62,3.64,1.339,4.68,1303.692,14.04,2578,589,27197101
"113",113,"Hvar","Croatia",19,0,2.041,1.105,5.551,233.116,16.653,3535,85,880583
"8",8,"Istanbul","Turkey",13,69,1.599,0.377,2.171,299.13,3.796,2218,2088,116213193
"13",13,"Jakarta","Indonesia",14,104,2.262,0.286,2.587,439.985,2.587,3252,449,75735133
"54",54,"Johannesburg","South Africa",12,49,1.846,0.78,1.95,426.777,7.8,3124,390,2999098
"49",49,"Kathmandu","Nepal",7,10,1.469,0.624,2.353,137.202,2.158,2529,1723,1684647
"19",19,"Krakow","Poland",37,35,2.6,0.585,2.444,699.725,7.319,2492,999,5787290
"20",20,"Kuala Lumpur","Malaysia",17,103,2.522,0.676,3.354,426.374,3.354,2774,665,15148859
"141",141,"Kuwait City","Kuwait",7,4,4.628,1.794,3.107,836.017,6.227,3940,132,4133614
"29",29,"Kyiv","Ukraine",33,49,1.209,0.234,1.027,538.096,6.006,1955,87,6800366
"82",82,"Kyoto","Japan",29,9,3.965,1.547,3.094,795.899,6.773,1775,1533,17684174
"130",130,"La Paz","Bolivia",6,7,2.483,1.482,2.171,335.257,3.393,2289,211,1451813
"36",36,"Las Vegas","United States",47,21,4.368,1.885,5.616,1074.307,14.04,3825,1420,40524360
"64",64,"Lima","Peru",16,67,2.249,1.417,1.885,477.607,3.068,1230,855,10148526
"3",3,"Lisbon","Portugal",33,95,2.028,0.52,2.223,957.047,9.997,2806,1969,10205538
"75",75,"Liverpool","United Kingdom",26,17,3.458,1.209,2.275,843.921,15.6,2199,1050,14834860
"71",71,"Ljubljana","Slovenia",61,8,1.885,1.105,2.886,685.906,11.102,1974,422,1737701
"102",101,"London","United Kingdom",22,318,3.835,2.21,6.5,2160.925,19.5,1633,4983,150702588
"30",30,"Los Angeles","United States",58,105,4.407,1.573,6.552,2096.406,18.72,3254,1375,75436810
"97",97,"Lyon","France",36,21,3.445,1.963,3.406,775.294,14.157,2002,502,9144123
"12",12,"Madrid","Spain",32,125,2.21,1.222,6.513,977.34,13.325,2769,1976,44165754
"47",47,"Malaga","Spain",26,17,1.651,0.949,2.769,755.482,11.102,3365,525,6992731
"127",126,"Manchester","United Kingdom",33,38,3.653,1.586,5.2,1103.999,19.5,1416,458,16470240
"104",104,"Manila","Philippines",8,29,2.301,0.247,1.586,641.927,3.731,2103,161,5381518
"43",43,"Marrakech","Morocco",8,5,1.937,0.52,4.433,376.571,4.576,3131,2107,8671948
"110",110,"Marseille","France",24,11,2.977,1.677,6.656,669.084,14.43,2858,488,8058438
"46",46,"Medellin","Colombia",9,41,1.196,0.884,0.975,242.502,3.666,1892,546,30904265
"55",55,"Melbourne","Australia",21,127,3.042,1.131,7.007,1202.63,14.014,2636,1242,33945108
"17",17,"Mexico City","Mexico",20,133,2.171,0.312,1.885,590.629,7.072,2555,969,6810938
"52",52,"Miami","United States",40,59,4.225,1.508,5.616,1821.04,14.976,3154,762,80497499
"86",86,"Milan","Italy",17,87,1.794,1.495,5.356,1205.503,16.653,1915,1543,21733273
"67",67,"Minsk","Belarus",23,5,1.417,0.195,1.456,382.135,7.267,1780,352,11083815
"88",88,"Montevideo","Uruguay",25,10,2.522,1.066,2.548,411.554,9.139,2481,326,3050401
"65",65,"Montreal","Canada",27,60,3.081,1.313,4.511,958.997,11.271,2051,793,18833685
"31",31,"Moscow","Russia",17,47,2.21,0.195,2.639,836.355,9.828,1901,4653,58201864
"7",7,"Mumbai","India",23,152,2.041,0.286,2.132,545.532,3.77,2584,892,47201552
"106",105,"Munich","Germany",31,87,3.51,2.223,4.446,1450.254,15.535,1709,735,12132597
"137",137,"Muscat","Oman",8,7,4.511,0.663,9.724,582.543,6.071,3493,219,3433459
"84",84,"Naples","Italy",19,7,1.534,1.131,3.328,715.039,11.102,2375,1045,8865857
"2",2,"New Delhi","India",12,165,1.846,0.247,1.885,233.025,3.77,2685,2019,28528249
"76",76,"New Orleans","United States",45,16,4.225,2.002,3.263,1303.328,16.263,2649,1016,11614267
"45",45,"New York","United States",37,272,4.524,1.742,6.877,2823.184,18.72,2535,10269,113711319
"74",74,"Oaxaca","Mexico",16,7,2.119,1.144,0.949,322.244,4.238,2896,294,4727625
"59",59,"Osaka","Japan",26,47,3.029,3.393,1.9045,807.404,6.773,1996,790,16057725
"138",138,"Oslo","Norway",49,33,4.706,1.508,9.711,1434.108,19.383,1668,444,8115873
"132",132,"Ottawa","Canada",26,24,3.367,1.495,5.239,1206.491,14.976,2084,435,6914271
"98",98,"Palma de Mallorca","Spain",29,15,2.353,1.079,2.769,958.048,16.601,2763,446,2370407
"69",69,"Paris","France",30,136,4.121,1.664,6.916,1370.499,16.601,1662,4265,130025724
"109",109,"Perth","Australia",19,29,3.185,1.183,6.201,1044.992,13.78,3230,416,10684382
"61",61,"Phnom Penh","Cambodia",8,27,2.197,0.936,0.702,439.465,2.795,3197,522,1196625
"63",63,"Phoenix","United States",44,35,4.316,1.3,4.667,1218.074,14.014,3872,389,9833747
"10",10,"Phuket","Thailand",23,11,2.249,0.988,2.548,391.404,3.536,3450,1698,10190220
"91",91,"Pokhara","Nepal",9,3,1.079,0.585,2.353,107.926,1.768,2573,344,741567
"89",89,"Portland","United States",44,31,3.952,1.508,5.59,1496.573,14.911,2341,741,12325674
"27",27,"Porto","Portugal",29,32,1.742,0.559,2.21,744.796,7.748,2468,802,9726729
"24",23,"Prague","Czech Republic",36,38,2.47,1.209,2.392,773.916,6.513,1668,2342,17540484
"72",72,"Quito","Ecuador",12,35,2.223,1.404,1.859,446.953,3.497,2238,493,8411766
"147",147,"Reykjavik","Iceland",26,9,4.368,2.639,9.022,1521.78,18.798,1326,629,2057729
"96",96,"Riga","Latvia",23,20,2.86,0.78,3.315,489.489,8.853,1754,540,3604009
"15",15,"Rio de Janeiro","Brazil",10,42,1.404,0.546,1.469,344.396,5.967,2187,1607,43041426
"57",57,"Rome","Italy",17,50,1.391,1.326,5.538,1069.77,16.601,2473,3444,27665299
"128",128,"Rotterdam","Netherlands",37,31,3.276,2.223,4.42,1320.93,16.562,1745,323,6749161
"142",142,"Salzburg","Austria",30,7,3.484,2.145,4.316,852.449,13.832,1697,290,3108680
"40",40,"San Diego","United States",74,53,3.978,1.742,5.59,2019.927,13.975,3055,1118,29887093
"38",38,"San Francisco","United States",75,77,4.407,1.742,6.552,2793.752,18.642,3062,1490,30781286
"115",115,"San Jose","Costa Rica",10,17,2.236,0.975,2.262,542.204,6.773,2081,305,5084798
"37",37,"Santiago","Chile",11,57,2.873,1.222,3.679,404.534,8.58,2808,1041,19690250
"14",14,"São Paulo","Brazil",17,112,1.482,1.105,1.833,421.109,5.499,1894,1267,32178314
"35",34,"Seoul","South Korea",25,74,3.874,0.715,3.042,835.601,6.5,2066,1166,20380943
"51",51,"Seville","Spain",28,7,1.573,1.04,2.21,729.664,9.958,2898,932,1755465
"94",94,"Shanghai","China",2,119,3.822,0.416,1.443,1247.246,4.329,1776,975,10969967
"26",26,"Siem Reap","Cambodia",9,3,1.625,0.702,0.819,264.459,1.859,3519,1650,2293814
"22",22,"Singapore","Singapore",93,117,3.835,0.624,6.201,1892.501,9.464,2022,1561,41453533
"16",16,"Sofia","Bulgaria",30,53,1.469,0.455,1.664,407.667,6.799,2177,598,4197864
"90",90,"Split","Croatia",20,6,1.768,1.469,2.951,468.507,10.322,2631,550,4249722
"129",129,"St. Petersburg","Russia",21,4,3.133,1.3,3.731,1294.007,11.648,1636,3218,3030245
"103",103,"Stockholm","Sweden",37,50,4.355,1.469,7.618,1500.291,13.065,1803,557,13630429
"122",122,"Stuttgart","Germany",33,25,3.263,1.885,4.433,1041.079,13.286,1692,250,9950961
"53",53,"Sydney","Australia",28,93,2.782,1.625,5.512,1817.595,12.402,2636,1343,33859310
"56",56,"Taipei","Taiwan",19,60,3.042,0.832,2.002,678.041,4.004,1405,1031,14321522
"78",77,"Tallinn","Estonia",37,14,3.159,0.663,4.433,606.45,11.076,1923,490,2861931
"133",133,"Tel Aviv","Israel",14,28,3.926,1.144,8.632,1492.569,18.694,3311,757,6474622
"41",41,"Tokyo","Japan",32,163,3.445,3.575,4.251,1315.041,8.515,1881,3416,56623159
"70",70,"Toronto","Canada",26,113,3.419,1.495,5.239,1476.696,14.976,2066,1048,50157783
"28",28,"Valencia","Spain",30,39,1.963,1.105,3.315,773.344,11.076,2660,681,23385115
"146",146,"Valletta","Malta",10,1,3.029,3.315,3.965,1158.287,22.139,3054,144,764698
"85",85,"Vancouver","Canada",40,43,3.38,1.404,5.239,1516.892,14.976,1938,729,24259344
"44",44,"Vienna","Austria",42,91,3.666,1.573,4.433,981.5,12.181,1930,1149,14453386
"121",121,"Vientiane","Laos",5,3,2.132,1.859,1.066,475.891,3.263,3250,104,409470
"101",101,"Vilnius","Lithuania",25,22,2.639,0.663,3.549,579.787,8.853,1691,457,3414796
"66",66,"Warsaw","Poland",23,54,2.912,0.728,2.548,798.499,7.267,1571,829,11966096
"77",77,"Washington DC","United States",68,59,4.29,2.431,5.59,2166.658,13.975,2528,778,10770923
"80",80,"Xi'an","China",16,4,4.316,0.286,0.715,304.837,2.886,3406,242,573692
"81",81,"Yangon","Burma/Myanmar",10,22,2.093,0.936,0.936,772.226,3.302,3156,478,986024
"79",79,"Zagreb","Croatia",25,12,1.69,0.741,2.21,529.958,7.371,1913,520,3480120
"144",144,"Zurich","Switzerland",33,42,5.161,3.9,7.189,2003.911,25.688,1566,485,6904776
